job,segment,n,pre_avg,post_avg,growth_rate
아란,Lv.295~299,56,5118951492415.739,9569599367490.84,86.94452138624872
아란,Lv.300,1,18086766252500.344,0.0,-100.0
아크,Lv.285~289,1193,1031140602895.9725,2625642434618.1973,154.63476341093002
아크,Lv.290~294,645,2335817064514.244,5895767597078.874,152.40707787640707
아크,Lv.295~299,63,4877852001492.167,7658677095982.335,57.00921417130932
에반,Lv.285~289,842,1300053691409.0771,2943963614274.907,126.44938695447729
에반,Lv.290~294,362,2527032912258.595,6254810739239.83,147.51599826412414
에반,Lv.295~299,47,5135428735836.041,8760755128282.349,70.59442509927283
엔젤릭버스터,Lv.285~289,1213,1168118700306.8936,2653208977208.713,127.13521977789155
엔젤릭버스터,Lv.290~294,627,2658149848064.5728,6080462296194.754,128.74791278685825
엔젤릭버스터,Lv.295~299,78,5240082964507.174,8440680443577.58,61.07913750124031
은월,Lv.285~289,1077,1215410283267.5242,2586074660199.31,112.77380122594278
은월,Lv.290~294,476,2474564728512.625,5838690459465.944,135.94818079280466
은월,Lv.295~299,71,4820884460427.512,8936237386028.807,85.3651017646739
일리움,Lv.285~289,938,1546785681785.4583,2827929021225.174,82.82617007166041
일리움,Lv.290~294,186,3003312135756.477,6355158901407.3,111.60500854189625
일리움,Lv.295~299,13,4486832471082.552,8338294438968.755,85.83921937600111
전사,Lv.285~289,3451,1190591355439.3025,2719065902330.6826,128.37944269529876
전사,Lv.290~294,1737,2489526317831.8545,6131678919858.598,146.29901985525981
전사,Lv.295~299,173,5592198814826.577,10521804325360.414,88.15147089305894
초보자,Lv.285~289,10,845911589817.2975,1003940819331.0068,18.681530246895065
초보자,Lv.290~294,6,2987427106145.2476,3658891787912.2085,22.476353661842772
초월자,Lv.285~289,1467,1241859611302.9219,3019654753260.646,143.15588700823557
초월자,Lv.290~294,579,2557892803741.821,6674519349508.931,160.9381964617552
초월자,Lv.295~299,47,5180786905564.431,9953446796358.533,92.12229682074013
카데나,Lv.285~289,507,1325716648020.5112,3000689118379.349,126.34468103420264
카데나,Lv.290~294,221,2538223421136.21,7068186208030.774,178.46982063016236
카데나,Lv.295~299,13,4496716190639.954,9325005534425.44,107.37367312252684
카이저,Lv.285~289,574,1179393564444.1223,2785990065470.1694,136.22225433994768
카이저,Lv.290~294,225,2411819204170.414,5996966410587.737,148.64908614286017
카이저,Lv.295~299,17,5183923084741.469,9241326753111.105,78.26897895750679
카인,Lv.285~289,581,1080929526116.5215,2632410069038.097,143.5320717434385
카인,Lv.290~294,286,2354481812856.435,6214887507576.313,163.95988593500624
카인,Lv.295~299,25,5376074134408.047,8144575801986.557,51.49671671860876
칼리,Lv.285~289,565,1567277497036.791,3261169858725.219,108.0786500725637
칼리,Lv.290~294,134,2957979405587.8096,6104678543401.104,106.38002184426914
칼리,Lv.295~299,14,5764085484451.65,11545396688398.438,100.29884566322971
팬텀,Lv.285~289,1405,1240959079445.2766,2878946604109.462,131.99367745440767
팬텀,Lv.290~294,727,2572953366820.3354,6645752424176.646,158.29276619923704
팬텀,Lv.295~299,78,4773898124125.869,9051365520550.414,89.6011453367111
프렌즈 월드,Lv.285~289,331,1074719726639.0846,3001243057944.047,179.2582087731542
프렌즈 월드,Lv.290~294,183,2265459322162.377,5806318857301.036,156.29764350652366
프렌즈 월드,Lv.295~299,24,5294981755327.213,10061401498856.213,90.01768020699159
해적,Lv.285~289,2280,1248936552852.5405,2754123202151.5415,120.51746310580722
해적,Lv.290~294,1139,2624476140179.425,6037547288552.9375,130.04771108874226
해적,Lv.295~299,114,5638158571789.651,9839357452870.182,74.5136701564425
호영,Lv.285~289,936,1060834580874.1487,2449492649563.915,130.90241341354886
호영,Lv.290~294,500,2457063109826.9814,5779314978108.557,135.21231322851602
호영,Lv.295~299,61,5768817583891.329,8587625616466.633,48.862838728797
