Date,segment,Event_Category,Sunday_Type,mean,median,n,std
2025-12-14,Lv.295~299,사냥 외,샤타포스,115.37280261656768,99.54313285249889,2769,119.01494139914239
2025-12-14,Lv.300,사냥 외,샤타포스,0.0,0.0,4,0.0
2025-12-21,Lv.285~289,경타포스,경타포스,324.03263739839,132.75904411185525,68264,568.1579066088274
2025-12-21,Lv.290~294,경타포스,경타포스,408.63450243600477,251.47472616876422,26765,571.9474551659148
2025-12-21,Lv.295~299,경타포스,경타포스,250.43701553773056,205.84265760124165,2750,244.5239355814584
2025-12-21,Lv.300,경타포스,경타포스,0.0,0.0,4,0.0
2025-12-28,Lv.285~289,경타포스,경타포스,310.84574367440604,129.7101626010945,67052,560.9894700237737
2025-12-28,Lv.290~294,경타포스,경타포스,374.05848928406317,218.54698192349443,26245,549.9274766397473
2025-12-28,Lv.295~299,경타포스,경타포스,232.76254452314313,185.30471047339034,2696,266.3926640467134
2025-12-28,Lv.300,경타포스,경타포스,0.0,0.0,4,0.0
2026-01-04,Lv.285~289,사냥 외,미라클,196.14219603205117,64.77507343095971,66546,449.0239032529522
2026-01-04,Lv.290~294,사냥 외,미라클,236.35326784452005,112.49697576076514,26132,457.51879547013425
2026-01-04,Lv.295~299,사냥 외,미라클,139.82686590671102,106.87399477774338,2678,186.0021766779836
2026-01-04,Lv.300,사냥 외,미라클,0.0,0.0,4,0.0
2026-01-11,Lv.285~289,사냥,트레져/몬파,398.4646883242656,137.37466007520294,65376,750.6756347024613
2026-01-11,Lv.290~294,사냥,트레져/몬파,477.31200558697685,215.50366467053146,25723,801.5553228899186
2026-01-11,Lv.295~299,사냥,트레져/몬파,263.7031895111879,157.30540353996082,2670,415.5441438874308
2026-01-11,Lv.300,사냥,트레져/몬파,0.0,0.0,4,0.0
2026-01-18,Lv.285~289,사냥 외,샤타포스,237.57641782364175,85.74211487344832,65635,496.4642822683732
2026-01-18,Lv.290~294,사냥 외,샤타포스,262.3652701307639,136.59292887207917,25960,458.6924117210693
2026-01-18,Lv.295~299,사냥 외,샤타포스,167.3641395786475,119.01790378428052,2662,263.36623587692765
2026-01-18,Lv.300,사냥 외,샤타포스,0.0,0.0,4,0.0
2026-01-25,Lv.285~289,사냥,솔에르다,293.0692221278909,107.45027275525632,65367,578.1448159631035
2026-01-25,Lv.290~294,사냥,솔에르다,346.15311971654114,183.10564570348993,25825,551.9070121752915
2026-01-25,Lv.295~299,사냥,솔에르다,206.8693788547943,143.83865835374658,2650,293.9144014990266
2026-01-25,Lv.300,사냥,솔에르다,0.0,0.0,4,0.0
2026-02-01,Lv.285~289,경타포스,경타포스,412.1016760720326,163.62220120217967,64982,728.6460693628081
2026-02-01,Lv.290~294,경타포스,경타포스,526.4624023292738,291.64609947628355,25666,747.2090723991641
2026-02-01,Lv.295~299,경타포스,경타포스,330.24343997100243,227.73961780493272,2652,438.9012083777196
2026-02-01,Lv.300,경타포스,경타포스,0.0,0.0,4,0.0
2026-02-08,Lv.285~289,사냥,솔에르다,367.6930538888746,116.45457982324555,64676,730.8568650641537
2026-02-08,Lv.290~294,사냥,솔에르다,446.0055173957104,199.15758851758054,25572,761.7130206150749
2026-02-08,Lv.295~299,사냥,솔에르다,257.5319055603755,165.63557223857913,2656,384.62223253365863
2026-02-08,Lv.300,사냥,솔에르다,0.0,0.0,4,0.0
2026-02-15,Lv.285~289,사냥 외,샤타포스,282.8832102340489,112.03928023755516,65381,553.6020976839275
2026-02-15,Lv.290~294,사냥 외,샤타포스,341.42842025212667,202.4688533976916,25861,538.1766116535491
2026-02-15,Lv.295~299,사냥 외,샤타포스,284.56000840178996,225.9947491558025,2656,339.85845170654375
2026-02-15,Lv.300,사냥 외,샤타포스,0.0,0.0,4,0.0
2026-02-22,Lv.285~289,사냥,사냥솔에르다,327.78548415960154,147.08403759312145,65213,593.5845969035677
2026-02-22,Lv.290~294,사냥,사냥솔에르다,402.3699349171886,244.3035317185152,25787,582.4200038413524
2026-02-22,Lv.295~299,사냥,사냥솔에르다,332.89404256627034,257.2909798607132,2655,396.69117643326786
2026-02-22,Lv.300,사냥,사냥솔에르다,0.0,0.0,4,0.0
2026-03-01,Lv.285~289,사냥 외,미라클,311.92828261810746,125.41086741714805,65124,594.354661005973
2026-03-01,Lv.290~294,사냥 외,미라클,393.5938327102352,230.66760845278247,25741,615.5106566343702
2026-03-01,Lv.295~299,사냥 외,미라클,330.2529040532572,260.02182829517056,2657,385.54318792021877
2026-03-01,Lv.300,사냥 외,미라클,0.0,0.0,4,0.0
2026-03-08,Lv.285~289,사냥 외,어빌/몬파,485.9220722148366,202.8777616910252,64309,813.0855019368795
2026-03-08,Lv.290~294,사냥 외,어빌/몬파,552.3376859418881,310.9498404578553,25486,789.0954918799249
2026-03-08,Lv.295~299,사냥 외,어빌/몬파,391.68759917251145,296.4152806426905,2652,451.1988290033792
2026-03-08,Lv.300,사냥 외,어빌/몬파,0.0,0.0,4,0.0
