name,segment,job,world,world_group,tier,union_level,access_flag,active_day_ratio,avg_exp_pct,avg_exp_on_active,character_age_days,cluster,pre_avg,post_avg
BirdPark,Lv.285~289,전사,오로라,기타,3,9134.0,True,0.20634920634920634,40.61,1560803285627.0386,2248.0,1,615790402997.0857,209101333202.25275
Black1007,Lv.285~289,카인,스카니아,스카니아,3,9486.0,True,0.8492063492063492,47.8,1872918718743.8599,1696.0,2,600054232614.6571,1971433019385.4944
BlindAlley,Lv.285~289,라라,루나,루나크로아,3,8913.0,True,0.9047619047619048,76.85,3805113488961.316,1588.0,2,2430915477103.2573,3831877978494.2417
Blossomby,Lv.285~289,렌,스카니아,스카니아,3,8928.0,True,0.9523809523809523,59.05,2493624223722.05,269.0,2,1771424692406.6858,2606978490246.2856
Bluebxrry,Lv.285~289,칼리,베라,베라,3,9292.0,False,0.19047619047619047,19.98,581416625943.6666,701.0,1,177779149221.17142,84964052746.23077
BuIIdoc,Lv.285~289,마법사,베라,베라,2,10324.0,True,0.8492063492063492,75.71,3716407567017.1216,3125.0,0,1818528889483.1143,3670407676251.901
BurningSoul,Lv.290~294,엔젤릭버스터,스카니아,스카니아,2,9838.0,True,0.9126984126984127,18.64,2605586640667.6,1721.0,0,1631929774174.8572,2665109028358.835
B쥐엠,Lv.285~289,도적,루나,루나크로아,3,9105.0,True,0.8412698412698413,62.43,2672451660836.9526,5568.0,0,1180196514712.8,2659043934437.022
B흙콰한당,Lv.285~289,아델,스카니아,스카니아,3,9287.0,True,0.36507936507936506,40.09,1541280673554.652,2080.0,1,1139191681109.6572,340958265326.10986
C1a1r,Lv.285~289,렌,베라,베라,3,9662.0,True,0.8205128205128205,32.62,1217999315722.2708,269.0,2,1423410355125.5,878233682154.6703
CALMCALMCALM,Lv.285~289,렌,루나,루나크로아,3,8948.0,True,0.4444444444444444,62.9,2705278572230.904,260.0,2,1355470569801.7307,1158596164188.5935
Carlens,Lv.285~289,렌,스카니아,기타,3,9014.0,True,0.384,28.93,1043654470644.3334,269.0,1,512949826160.7059,358847478038.0659
Car가민애렌,Lv.285~289,렌,엘리시움,기타,3,8677.0,True,0.1440677966101695,32.55,1214972462512.8235,269.0,1,614376049088.8889,44685478432.06593
Chan의하루,Lv.285~289,마법사,베라,베라,2,10152.0,True,0.8253968253968254,54.01,2232812711513.7114,3430.0,0,1546245743350.3713,1957076054727.066
Charemis,Lv.285~289,초월자,엘리시움,기타,3,10379.0,True,0.47619047619047616,24.13,794867853227.65,4105.0,0,1241634196920.0857,46537080235.78022
CilluceLen,Lv.285~289,렌,베라,베라,3,9588.0,False,0.3492063492063492,10.02,151337003365.31818,269.0,1,188072612378.3143,838315547.6153846
ClPHERA,Lv.285~289,카이저,루나,루나크로아,3,8750.0,True,0.7964601769911505,54.13,2238169170688.6445,269.0,2,1842284218000.7273,1768186511713.8682
Code노란,Lv.290~294,마법사,엘리시움,기타,2,9400.0,True,0.8412698412698413,90.04,10442046906672.463,1610.0,2,2373032219294.971,11250558730021.506
Cool,Lv.290~294,마법사,베라,베라,2,9009.0,True,0.6825396825396826,64.72,6599473538851.523,4481.0,0,1156315527982.0857,5792128361119.318
Core,Lv.285~289,렌,베라,베라,3,9179.0,True,0.9166666666666666,70.98,3300079963144.1816,370.0,2,3497918914058.1304,2188500289263.1538
Crualla,Lv.285~289,해적,베라,베라,3,9320.0,False,0.32407407407407407,36.61,1379391147048.3428,1267.0,1,934762522831.0,355909090753.46155
C테버비숍,Lv.285~289,마법사,크로아,루나크로아,2,9566.0,True,0.47619047619047616,93.21,6164328213801.3,814.0,2,1514240434.3714285,4063809828712.912
DDemonSTRATE,Lv.285~289,은월,스카니아,스카니아,3,8709.0,True,0.08181818181818182,50.81,2046629717781.3333,431.0,1,391674693410.9474,120635695442.02197
DJ렌,Lv.285~289,렌,스카니아,스카니아,3,8989.0,True,0.8936170212765957,58.35,2451993948907.619,269.0,2,3213989609266.0,2157423328356.5056
DPM왜이렌,Lv.285~289,렌,오로라,기타,3,9626.0,True,0.49206349206349204,10.05,153369236342.6129,269.0,1,59339835935.37143,81670312038.5055
DW도자기렌,Lv.285~289,렌,베라,베라,3,8820.0,True,0.2672413793103448,51.58,2087759708300.5483,269.0,1,328779560884.88,620890790496.6483
DarkNR,Lv.285~289,도적,엘리시움,기타,3,9470.0,True,0.4126984126984127,83.12,4566816251810.135,3916.0,0,38141408000.0,2594939514440.956
Desire,Lv.285~289,아크,루나,루나크로아,3,9007.0,True,0.3888888888888889,57.09,2399658291675.8164,2458.0,1,83386609097.0,1260051922788.1318
DragoneerZ,Lv.285~289,에반,스카니아,기타,3,8909.0,True,0.08695652173913043,35.08,1327858712840.8,269.0,1,553274463683.6666,0.0
Drive,Lv.290~294,마법사,루나,루나크로아,1,9750.0,True,0.9206349206349206,87.92,9921732770028.207,3006.0,0,3249044204014.6855,11397851144865.473
Dummy,Lv.285~289,레지스탕스,엘리시움,기타,3,10035.0,True,0.9682539682539683,13.65,262513612396.5,269.0,2,297243640746.1429,237616849299.53845
Exlium,Lv.285~289,칼리,스카니아,스카니아,3,9129.0,True,0.03968253968253968,58.87,2480489200178.8,449.0,1,0.0,136290615394.43956
FOFI,Lv.285~289,기사단,스카니아,스카니아,2,9652.0,True,0.8888888888888888,86.69,5024058393910.554,451.0,2,2917571113349.7144,5061313748909.253
FailNumEL,Lv.285~289,전사,스카니아,스카니아,3,9241.0,True,0.29365079365079366,71.78,3347260814990.4326,1849.0,1,879208927457.1714,1022816897732.3627
Frist란,Lv.285~289,렌,베라,베라,3,9302.0,True,0.956140350877193,67.91,3080243456878.2935,269.0,2,2022615517187.6086,3178311867081.5273
F가파,Lv.285~289,아델,베라,베라,3,9610.0,True,0.7063492063492064,36.52,1377973447040.9663,2250.0,0,797808458379.5714,1040838909267.7032
GANOHI,Lv.285~289,전사,베라,베라,2,9261.0,True,1.0,85.71,4891245655610.754,5453.0,0,4249049279324.2856,5138244261874.78
GC하방,Lv.290~294,도적,제니스,기타,1,9918.0,True,0.8650793650793651,69.92,7273969933359.303,2109.0,0,3660080023994.943,7305054086772.978
GENTA622,Lv.285~289,렌,오로라,기타,2,9013.0,True,0.9913793103448276,96.5,7257109201693.122,227.0,2,2721742196118.08,8423340695513.813
GeeNiiii,Lv.285~289,라라,엘리시움,기타,2,9588.0,True,0.7380952380952381,94.68,6566561581609.635,1678.0,2,1486520545964.543,6139142944845.462
Girls,Lv.285~289,도적,루나,루나크로아,3,9841.0,True,0.4126984126984127,9.47,132896168683.09616,3188.0,1,142018825450.42856,21318042645.67033
Goaho,Lv.285~289,마법사,스카니아,스카니아,2,9604.0,True,1.0,99.51,10669737501841.469,2657.0,0,4359146248573.543,13096887983867.594
Hak2,Lv.285~289,도적,스카니아,스카니아,3,9580.0,True,0.36507936507936506,70.92,3295991632582.913,3358.0,0,185620877893.48572,1594713015082.8792
HalH,Lv.285~289,프렌즈 월드,크로아,루나크로아,3,9459.0,True,0.18253968253968253,49.22,1949421835718.8696,2085.0,1,135703776232.48572,440517253334.03296
Hapull,Lv.290~294,엔젤릭버스터,노바,기타,1,9711.0,True,0.8492063492063492,99.15,15082517693333.074,2460.0,2,896834709543.4286,17389452509369.44
HiyoshiHana,Lv.285~289,레지스탕스,크로아,루나크로아,3,10519.0,True,0.8367346938775511,8.52,112177699100.58537,2635.0,0,864328203622.0,34596416493.34066
HooNLen,Lv.285~289,렌,스카니아,기타,3,8841.0,True,1.0,88.96,5379840095789.359,269.0,2,3031625911200.6523,5973344779806.286
Hyoren,Lv.285~289,렌,스카니아,스카니아,3,8909.0,True,0.3333333333333333,90.07,5548760347578.154,269.0,2,1913459163531.3462,1831337530810.2527
ICONEWLEN,Lv.285~289,렌,스카니아,기타,3,10138.0,True,0.09734513274336283,5.96,62604818011.0,269.0,1,31261798900.31818,9817827.626373626
ILload배매,Lv.285~289,레지스탕스,루나,루나크로아,3,8675.0,False,0.36507936507936506,36.43,1375699207493.1956,269.0,1,706974511206.6,423495117059.95605
IN육렌,Lv.285~289,렌,스카니아,기타,3,8799.0,True,0.16260162601626016,9.59,137305699078.25,269.0,1,26491422.125,30167761055.57143
IRON닉변,Lv.285~289,레지스탕스,루나,루나크로아,3,9332.0,False,0.3333333333333333,98.71,8760771080913.762,2708.0,0,892595741090.6,3700126752309.967
IRlSOUT,Lv.285~289,렌,스카니아,스카니아,3,6099.0,False,0.12698412698412698,41.44,1597549879233.25,269.0,3,730308516220.9143,0.0
IWDLen,Lv.285~289,렌,오로라,기타,3,8965.0,True,0.16666666666666666,41.59,1601500091866.5715,269.0,1,305084945472.9143,252236580633.47253
Iiszt,Lv.285~289,렌,크로아,루나크로아,3,9425.0,False,0.6136363636363636,50.29,2025187953294.889,217.0,2,1512327468839.2,1208165061404.2563
IlCignoNero,Lv.285~289,렌,제니스,기타,3,10645.0,True,0.16666666666666666,39.5,1515032999584.158,269.0,1,943108329447.3478,77957532030.87912
I므엥l,Lv.285~289,라라,스카니아,스카니아,3,9248.0,True,0.9206349206349206,59.98,2540874420960.483,795.0,2,1129081742266.2856,2804654635737.319
I예원I,Lv.285~289,아델,오로라,기타,3,9226.0,False,0.007936507936507936,5.44,54052429926.0,1295.0,1,0.0,593982746.4395604
I지형I,Lv.290~294,마법사,오로라,기타,2,9294.0,True,0.9603174603174603,88.14,9973565116434.611,848.0,2,5975035993254.0,10963462849721.955
I하블,Lv.290~294,전사,오로라,기타,1,9688.0,True,1.0,97.25,12876470548431.191,2325.0,2,7772028229125.257,14839717594318.088
I화소연영I,Lv.285~289,일리움,스카니아,스카니아,3,7114.0,False,0.08653846153846154,2.77,905326645.0,269.0,3,0.0,89537800.05494505
JAYx4,Lv.285~289,도적,엘리시움,기타,3,8789.0,False,0.626984126984127,37.01,1400180756296.215,812.0,1,1146350154777.6572,774637630002.011
JH향,Lv.285~289,아델,오로라,기타,3,9327.0,True,0.5619834710743802,23.15,735140851345.6177,2245.0,1,241786180829.13333,469626290842.0659
JNLEN,Lv.285~289,렌,루나,루나크로아,2,8861.0,True,0.5299145299145299,86.41,4971745276520.178,269.0,2,1005465429485.2693,3100067098655.319
JOLL,Lv.285~289,렌,크로아,루나크로아,3,9705.0,False,0.3130434782608696,26.84,932270679910.7778,269.0,1,674415236953.7916,190942624064.8022
JiangShaSI,Lv.285~289,기사단,오로라,기타,3,8323.0,True,0.9829059829059829,31.48,1163814174843.4434,269.0,2,918822494964.8846,1208233464152.8462
KDFbul1dog,Lv.285~289,마법사,오로라,기타,3,9031.0,True,0.375,21.03,633840185013.6904,449.0,1,246960966794.1905,235550631515.35165
KMN6148,Lv.285~289,렌,스카니아,스카니아,3,8688.0,True,0.4915254237288136,57.49,2424591714718.483,269.0,2,463483525911.1111,1407827079715.077
KR99,Lv.290~294,메르세데스,스카니아,스카니아,2,9873.0,True,1.0,95.87,11801498834898.404,451.0,2,5251809289659.629,14320610198451.78
KTNW,Lv.285~289,마법사,스카니아,스카니아,3,8982.0,True,0.8571428571428571,74.21,3593260024470.0557,408.0,2,1660693229815.1714,3625800215376.209
KoonSo,Lv.285~289,기사단,스카니아,스카니아,2,8916.0,True,0.9920634920634921,84.38,4741745034705.424,251.0,2,2994878766987.086,5361509587842.088
KoreaG,Lv.285~289,레지스탕스,크로아,루나크로아,3,8126.0,True,0.38095238095238093,78.76,3998753340196.354,2997.0,0,2561321060201.7715,1124109046399.5935
K비비드,Lv.285~289,렌,엘리시움,기타,3,8708.0,True,0.746031746031746,69.63,3187157716626.4043,269.0,2,2512070480293.143,2326047896182.659
LHalo,Lv.285~289,렌,루나,루나크로아,3,8788.0,False,0.12698412698412698,43.96,1708263827518.3125,269.0,1,780920606865.5143,0.0
LOOFI,Lv.285~289,아크,오로라,기타,3,9116.0,True,0.30158730158730157,18.94,514891176376.1316,2797.0,1,119699804072.6,168971116041.23077
LaHeLaDo,Lv.285~289,마법사,노바,기타,2,9689.0,True,1.0,42.85,1655012515585.3572,2896.0,0,810734872564.6857,1979734685977.923
LastPirate,Lv.285~289,해적,이노시스,기타,3,9165.0,True,0.6666666666666666,53.21,2179338115004.4524,269.0,2,1736119432158.3428,1343958478404.7473
Lookie,Lv.290~294,레지스탕스,엘리시움,기타,2,9365.0,False,0.007936507936507936,2.44,283410010004.0,3321.0,1,8097428857.257143,0.0
Lordmt,Lv.290~294,도적,루나,루나크로아,2,10417.0,True,0.8888888888888888,86.44,9687460494369.795,2813.0,0,1030618235237.9429,11526636671825.154
LoserBaby,Lv.285~289,전사,루나,루나크로아,2,9149.0,True,0.9682539682539683,81.59,4368903370356.3936,450.0,2,2781700875014.2285,4787326159977.824
Luka,Lv.285~289,아크,크로아,루나크로아,3,9488.0,True,0.8492063492063492,38.24,1451274362183.8037,632.0,2,298016602106.82855,1591821710768.4395
M0NCLER,Lv.285~289,전사,오로라,기타,3,9277.0,True,0.7142857142857143,82.02,4427655488533.866,451.0,2,1962007052086.2,3624381836758.5825
MD옆구리,Lv.290~294,도적,레드,기타,2,9821.0,True,0.9444444444444444,18.01,2554652152475.6724,2459.0,0,1852877872974.9714,2628053632862.4287
MK회담,Lv.285~289,도적,루나,루나크로아,2,9911.0,True,0.9444444444444444,75.93,3726011083502.3867,2880.0,0,1009964876302.9143,4484028002925.077
MeMyung,Lv.290~294,마법사,루나,루나크로아,2,9525.0,True,0.746031746031746,13.56,2108963540122.2766,1944.0,1,1069167872340.7428,1767271398237.011
Memories,Lv.290~294,레지스탕스,베라,베라,2,9358.0,True,0.9920634920634921,78.92,8509781378643.712,3301.0,0,2991453116197.4,10538701244654.451
MenPap,Lv.285~289,렌,스카니아,스카니아,2,8794.0,True,0.7807017543859649,97.6,7801137017793.562,269.0,2,238155610231.86957,7569490280750.483
Metherlence,Lv.285~289,렌,스카니아,스카니아,2,9134.0,True,0.7777777777777778,84.05,4695535903605.684,269.0,2,2082559958648.8857,4255746373633.4727
MinQus,Lv.285~289,엔젤릭버스터,루나,루나크로아,2,9249.0,True,0.9603174603174603,58.38,2452133024747.025,4477.0,0,1458796619980.3428,2699452904341.5166
Mk85제논,Lv.285~289,레지스탕스,크로아,루나크로아,2,9388.0,True,0.7619047619047619,74.24,3594900021709.8022,4811.0,0,1020658187556.6857,3399861159556.6704
Monash,Lv.295~299,팬텀,노바,기타,1,10043.0,True,0.9126984126984127,47.42,7300794787889.574,4935.0,0,6589750106859.2,6691759855683.835
Mr호수,Lv.285~289,마법사,오로라,기타,2,9406.0,True,0.7142857142857143,98.34,8254964388341.655,1174.0,2,707905173760.0857,7891979273287.318
MyskiesWing,Lv.290~294,전사,크로아,루나크로아,2,9503.0,True,0.7063492063492064,1.59,101305414688.21349,4915.0,0,87932729547.6,65258641462.47253
NAROkingod,Lv.285~289,도적,스카니아,스카니아,2,9134.0,True,0.5873015873015873,95.39,6823951178070.878,2814.0,0,1346182703935.7144,5031384533401.044
NUC0,Lv.285~289,렌,스카니아,스카니아,2,8687.0,True,0.956140350877193,89.52,5473309843654.34,269.0,2,2049665041910.5652,6037895351586.594
Nami,Lv.290~294,엔젤릭버스터,크로아,루나크로아,1,10414.0,True,1.0,53.71,5260042487845.833,2098.0,0,2421585969911.0,6351756533205.385
NamingSen,Lv.285~289,아델,오로라,기타,3,9492.0,True,0.6349206349206349,34.09,1279479797436.25,2250.0,0,93825879534.88571,1088730527595.3737
Nana,Lv.290~294,마법사,베라,베라,1,10551.0,True,0.7936507936507936,91.84,10719639456092.91,1545.0,2,1840491823099.9714,11071942107701.012
Neetriever,Lv.285~289,전사,엘리시움,기타,2,8710.0,True,0.9365079365079365,87.77,5197375113504.991,420.0,2,2821031477274.0,5654441337241.747
Niel,Lv.285~289,엔젤릭버스터,루나,루나크로아,3,9860.0,True,0.7272727272727273,13.0,239558824780.06818,843.0,1,345657489222.1667,117708262681.1099
NoConTrol,Lv.285~289,레지스탕스,스카니아,스카니아,2,9656.0,True,0.753968253968254,77.96,3902198490129.305,2919.0,0,608497151088.9714,3839686332683.187
NobleGrape,Lv.285~289,초월자,베라,베라,3,8856.0,True,0.5083333333333333,39.04,1489865299589.2295,3328.0,0,525663189680.7586,831181876639.5714
Nozpix,Lv.290~294,아크,루나,루나크로아,2,9776.0,True,0.9761904761904762,12.08,1953000918348.1545,2409.0,0,1044468046303.0857,2238051992705.659
Nyunchi,Lv.285~289,렌,스카니아,기타,3,8714.0,True,0.8869565217391304,65.6,2912417022379.5195,269.0,2,1959603609073.3333,2747648897417.044
N령렌,Lv.285~289,렌,엘리시움,기타,3,9196.0,True,0.9830508474576272,75.81,3717381587075.6294,264.0,2,2568721311237.5557,3976492183487.4614
O2O327,Lv.285~289,해적,크로아,루나크로아,3,9512.0,True,0.18253968253968253,12.48,219337586971.13043,2460.0,1,50537561812.37143,35999448757.17583
OH교,Lv.285~289,마법사,스카니아,스카니아,3,9645.0,True,0.6559139784946236,4.67,26651112869.04918,805.0,1,14376494310.685715,19354148002.37931
Or7l토끼,Lv.285~289,렌,루나,루나크로아,3,8943.0,True,0.5476190476190477,67.02,3011959179309.913,269.0,2,619815481449.9714,2045402654083.9011
Oski,Lv.290~294,전사,스카니아,스카니아,2,9724.0,True,0.8492063492063492,18.22,2560345452511.5796,2871.0,0,981427676510.0,2633043898251.5273
P6120,Lv.285~289,도적,크로아,루나크로아,3,8987.0,False,0.023809523809523808,3.01,1519893317.0,1330.0,1,130276570.02857143,0.0
PTBlue,Lv.285~289,팬텀,베라,베라,3,10059.0,True,0.7857142857142857,23.89,777581157747.9899,2719.0,0,575912591471.4857,624435097973.0659
Performance,Lv.285~289,도적,엘리시움,기타,3,9523.0,False,0.07936507936507936,10.24,156966425185.5,5639.0,0,44847550053.0,0.0
Portal,Lv.285~289,도적,크로아,루나크로아,2,9941.0,True,0.9603174603174603,71.41,3320280427947.496,5134.0,0,3203397810943.2573,3182802290094.868
QJ풀하우스,Lv.290~294,라라,엘리시움,기타,2,9458.0,True,1.0,70.97,7375579473540.492,1374.0,2,5640696645093.972,8042842099866.077
QnQo,Lv.285~289,렌,스카니아,기타,3,9334.0,False,0.02727272727272727,6.24,67538313906.666664,268.0,1,6215471966.210526,928801916.0659341
QofHearts,Lv.285~289,레지스탕스,스카니아,스카니아,3,9432.0,True,0.48412698412698413,28.31,1008890895136.1476,1057.0,1,527220230198.4286,473512489520.4396
RS망나니,Lv.285~289,아크,루나,루나크로아,3,9491.0,True,0.626984126984127,9.53,134039842994.75949,2998.0,0,113515652564.42857,72704392932.20879
RYANNNNN,Lv.290~294,마법사,엘리시움,기타,2,9106.0,False,0.5952380952380952,69.7,7247919775185.986,3240.0,0,307801202565.0857,5855175176364.517
Ralln,Lv.285~289,아델,스카니아,스카니아,3,9063.0,True,0.9126984126984127,36.34,1371712243567.9043,2061.0,0,503161328838.7714,1539958917592.8792
React,Lv.285~289,레지스탕스,스카니아,스카니아,3,9123.0,True,0.5,35.6,1348064433050.0635,3004.0,0,455618787885.0,758037381386.5824
RedNomad,Lv.285~289,렌,스카니아,스카니아,3,9239.0,True,0.14035087719298245,16.51,401419924947.75,269.0,1,53900987794.17391,56956000878.0
