name,tier,access_flag,date_create,latest_level,world,union_level,ocid,character_class,world_group,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,스탠스,방어력,이동속도,점프력,스타포스,아케인포스,어센틱포스,STR,DEX,INT,LUK,HP,MP,AP 배분 STR,AP 배분 DEX,AP 배분 INT,AP 배분 LUK,AP 배분 HP,AP 배분 MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,추가 경험치 획득,공격력,마력,전투력
비익검,3,True,2025-06-19T00:00+09:00,287,스카니아,8916.0,7a1430ef56e7728be60b90c1183297d5,나이트로드,스카니아,26564245.0,66.0,231.0,63.19,92.27,98.0,74.75,72.0,100.0,24638.0,160.0,123.0,85.0,1380.0,460.0,2018.0,3335.0,2092.0,35801.0,76009.0,50112.0,4.0,4.0,4.0,1453.0,0.0,0.0,122.0,36.0,43.0,6.0,114.0,0.0,6.0,3.0,194.0,3824.0,813.0,37743139.0
수리수리수리,3,True,2024-12-19T00:00+09:00,285,크로아,9670.0,2d5074b88815daa7be6f0b2a4dd5d9e2,보우마스터,크로아,21836533.0,76.0,387.0,61.23,95.9,108.0,66.0,50.0,100.0,33504.0,170.0,123.0,272.0,1350.0,300.0,5654.0,40368.0,3715.0,3778.0,70394.0,39631.0,4.0,1443.0,4.0,4.0,0.0,0.0,52.0,16.0,49.0,4.0,48.0,0.0,6.0,7.0,32.0,3542.0,902.0,39932153.0
렌재렌,3,True,2025-06-19T00:00+09:00,285,챌린저스4,9320.0,87d192bd3ce729c7f2f65289f0b5294e,렌,챌린저스,22190789.0,76.0,336.0,86.15,90.89,96.0,60.0,44.0,100.0,56955.0,144.0,123.0,134.0,1350.0,350.0,35065.0,2835.0,1837.0,2122.0,76720.0,30282.0,1443.0,4.0,4.0,4.0,0.0,0.0,72.0,56.0,36.0,6.0,32.0,0.0,6.0,7.0,37.5,3641.0,586.0,39338800.0
장님새우튀김,3,False,2020-09-19T00:00+09:00,288,루나,9703.0,73d0f084e62eaa439fbcc6015cf09b99efe8d04e6d233bd35cf2fabdeb93fb0d,"아크메이지(불,독)",루나,32392297.0,96.0,268.0,194.14,88.08,85.0,63.35,48.0,100.0,4013.0,132.0,114.0,67.0,1350.0,450.0,1085.0,482.0,31479.0,1387.0,26003.0,64733.0,4.0,4.0,1458.0,4.0,0.0,0.0,90.0,4.0,123.0,4.0,12.0,0.0,6.0,0.0,167.0,787.0,3678.0,29674167.0
더탱,3,True,2019-01-31T00:00+09:00,285,스카니아,9605.0,1e1685c4e9927d34308ef600b5e7a3ed,다크나이트,스카니아,52341338.0,76.0,330.0,122.75,84.27,91.0,66.5,62.0,100.0,81401.0,170.0,123.0,243.0,1350.0,480.0,45607.0,5264.0,3272.0,2789.0,100629.0,45824.0,1443.0,4.0,4.0,4.0,0.0,0.0,171.0,131.0,95.0,4.0,79.0,3.0,6.0,7.0,134.0,4774.0,871.0,70826997.0
챌섭억까,3,True,2025-06-19T00:00+09:00,285,챌린저스3,9163.0,e44ad3ec5e038ee7cec44a226ee1888f,렌,챌린저스,48522852.0,84.0,392.0,86.15,94.42,106.0,71.55,56.0,100.0,99999.0,170.0,123.0,216.0,1350.0,430.0,48224.0,6030.0,4047.0,3657.0,91970.0,37702.0,1443.0,4.0,4.0,4.0,0.0,0.0,12.0,14.0,56.0,6.0,12.0,0.0,6.0,0.0,53.0,5478.0,840.0,102004153.0
셤컬b,3,True,2025-12-18T00:00+09:00,286,크로아,9609.0,0775cc90160c3c43b63fb790994c933e,보우마스터,크로아,83295915.0,107.0,539.0,77.35,98.03,213.0,133.5,51.0,100.0,42513.0,170.0,123.0,361.0,1420.0,420.0,5951.0,60107.0,4604.0,3799.0,73249.0,34550.0,4.0,1448.0,4.0,4.0,0.0,0.0,36.0,16.0,50.0,4.0,12.0,0.0,6.0,0.0,61.0,7084.0,1749.0,172496742.0
겨울같은윈터,3,True,2025-06-19T00:00+09:00,285,루나,9649.0,2f7e5f9c133118137d5cbf93968e7b8defe8d04e6d233bd35cf2fabdeb93fb0d,렌,루나,57154376.0,81.0,378.0,87.7,94.28,100.0,77.0,63.0,100.0,99999.0,170.0,123.0,311.0,1350.0,430.0,54563.0,6566.0,4556.0,4526.0,92180.0,29862.0,1443.0,4.0,4.0,4.0,0.0,0.0,36.0,17.0,90.0,6.0,12.0,0.0,6.0,0.0,77.0,5756.0,1225.0,116540179.0
퐁조,3,True,2025-06-19T00:00+09:00,285,베라,10179.0,e1e76a465a75d929e6055cf150b309a6,렌,기타,64622430.0,94.0,306.0,86.15,94.05,120.0,83.85,73.0,100.0,99999.0,170.0,123.0,290.0,1350.0,290.0,55782.0,8406.0,5573.0,5693.0,111749.0,36057.0,1443.0,4.0,4.0,4.0,0.0,0.0,26.0,37.0,60.0,6.0,95.0,0.0,6.0,7.0,71.5,5945.0,1206.0,118530945.0
양팡,3,True,2020-02-22T00:00+09:00,285,크로아,9959.0,a50f4728d84af3120d59602c4e092b77,"아크메이지(불,독)",크로아,167275869.0,149.0,515.0,194.14,95.23,98.0,132.0,60.0,100.0,23609.0,170.0,123.0,288.0,1380.0,630.0,5365.0,5429.0,65655.0,8848.0,77520.0,109750.0,4.0,4.0,1443.0,4.0,0.0,0.0,121.0,37.0,175.0,4.0,12.0,3.0,6.0,7.0,202.0,2119.0,7011.0,200241491.0
뤠루리,3,True,2025-12-21T00:00+09:00,285,스카니아,9024.0,a38094983903022e090c3e951c3b8f4e,루미너스,스카니아,49717664.0,84.0,404.0,88.94,97.75,100.0,81.0,85.0,100.0,24155.0,170.0,123.0,301.0,1350.0,430.0,4930.0,4525.0,58087.0,7732.0,88562.0,155635.0,4.0,4.0,1448.0,4.0,0.0,0.0,36.0,1.0,57.0,4.0,212.0,2.0,6.0,27.0,218.0,1570.0,4964.0,97076728.0
펭귄귀여오,3,False,2020-08-29T00:00+09:00,285,스카니아,8643.0,629516d5d47ee2cda04ced4aecbb688b,아델,스카니아,1.0,104.0,24.0,67.31,58.01,94.0,54.0,73.0,100.0,35998.0,132.0,123.0,8.0,1320.0,190.0,22908.0,957.0,960.0,1022.0,54786.0,24347.0,1443.0,4.0,4.0,4.0,0.0,0.0,107.0,35.0,30.0,4.0,95.0,0.0,5.0,0.0,64.25,927.0,317.0,0.0
울황스,3,True,2025-06-19T00:00+09:00,288,오로라,8647.0,02eb51557220cd21ef622f024ddfbdabefe8d04e6d233bd35cf2fabdeb93fb0d,렌,기타,48770546.0,84.0,360.0,87.7,86.35,107.0,75.4,61.0,100.0,96407.0,170.0,123.0,238.0,1350.0,560.0,50740.0,5609.0,3888.0,3236.0,116779.0,45100.0,1468.0,4.0,4.0,4.0,0.0,0.0,250.0,64.0,50.0,6.0,99.0,2.0,5.0,0.0,163.0,5208.0,1110.0,95276218.0
모나미모나미,3,True,2022-12-22T00:00+09:00,285,엘리시움,10552.0,842e7f1557ae94ef3498c997440ccb34efe8d04e6d233bd35cf2fabdeb93fb0d,데몬어벤져,엘리시움,96425809.0,112.0,488.0,99.79,97.2,101.0,87.3,95.0,100.0,42740.0,170.0,123.0,353.0,1350.0,290.0,4846.0,3710.0,2693.0,2996.0,500000.0,,4.0,4.0,4.0,4.0,21585.0,0.0,36.0,16.0,95.0,4.0,12.0,2.0,6.0,27.0,59.0,5802.0,1284.0,175818405.0
연결,2,True,2018-07-11T00:00+09:00,294,엘리시움,10626.0,d5fc52d48c42003eddfbefbc18c5f62fefe8d04e6d233bd35cf2fabdeb93fb0d,듀얼블레이더,엘리시움,97077198.0,88.0,351.0,55.39,88.72,88.0,86.85,82.0,100.0,72488.0,170.0,123.0,269.0,1360.0,810.0,6094.0,7413.0,4686.0,58757.0,68235.0,40292.0,4.0,4.0,4.0,1493.0,550.0,300.0,312.0,152.0,65.0,6.0,107.0,5.0,6.0,7.0,330.75,10285.0,1491.0,246700871.0
뚜부카페,3,False,2025-12-18T00:00+09:00,285,오로라,5031.0,c74d58312fd15ea47a3a97d37e78acc9efe8d04e6d233bd35cf2fabdeb93fb0d,렌,기타,20542205.0,73.0,334.0,70.64,91.03,115.0,39.0,54.0,100.0,83281.0,170.0,123.0,217.0,1280.0,390.0,47812.0,3822.0,1952.0,2088.0,109908.0,41932.0,1443.0,4.0,4.0,4.0,0.0,0.0,24.0,0.0,74.0,6.0,230.0,0.0,5.0,0.0,495.0,2744.0,710.0,31171787.0
쏘팡잉,3,False,2023-04-27T00:00+09:00,285,엘리시움,8780.0,e560a38c2383ec2eb3162ded9cb2e5a7efe8d04e6d233bd35cf2fabdeb93fb0d,바이퍼,엘리시움,12630574.0,53.0,229.0,36.73,87.38,56.0,59.4,74.0,100.0,52544.0,132.0,120.0,63.0,1350.0,500.0,33832.0,1692.0,887.0,1188.0,40767.0,21378.0,1443.0,4.0,4.0,4.0,-210.0,0.0,0.0,4.0,36.0,5.0,12.0,0.0,6.0,0.0,10.0,2592.0,318.0,20605713.0
흐륜,1,True,2010-07-22T00:00+09:00,297,루나,10672.0,6faac9fac36cba51cf981f597f4277d3,배틀메이지,루나,177773754.0,115.0,500.0,74.46,96.72,96.0,142.55,67.0,100.0,82882.0,172.0,123.0,353.0,1360.0,850.0,7406.0,7275.0,81259.0,11443.0,151654.0,99277.0,4.0,4.0,1503.0,4.0,-465.0,31399.0,197.0,122.0,95.0,4.0,12.0,2.0,6.0,7.0,374.0,2767.0,11738.0,520061442.0
렌백해,3,True,2025-06-19T00:00+09:00,289,스카니아,9423.0,16eef6050d55a4c17f3d84cb6980a8b9,렌,스카니아,50265410.0,94.0,349.0,86.15,86.13,98.0,64.0,66.0,100.0,96690.0,160.0,123.0,235.0,1350.0,650.0,51889.0,5596.0,2702.0,2507.0,92406.0,44432.0,1468.0,4.0,4.0,4.0,0.0,0.0,185.0,140.0,30.0,6.0,63.0,2.0,0.0,0.0,231.0,5023.0,1199.0,91521322.0
아칼리93,3,True,2023-12-22T00:00+09:00,285,크로아,8429.0,e9ec087d0d8c4e5fd4b2e7734f4ec7ab,칼리,크로아,51936162.0,72.0,438.0,90.08,96.65,100.0,114.95,70.0,100.0,42423.0,168.0,123.0,296.0,1350.0,400.0,4121.0,6751.0,3860.0,49881.0,87232.0,59188.0,4.0,4.0,4.0,1448.0,500.0,550.0,106.0,24.0,50.0,6.0,12.0,0.0,5.0,27.0,65.0,5924.0,1118.0,109305640.0
양념꽁치구이,3,True,2025-06-19T00:00+09:00,286,챌린저스3,8984.0,6433a33fdc26497a1f63dc48a9cca53c,렌,챌린저스,68407223.0,130.0,315.0,98.97,92.33,100.0,112.15,175.0,100.0,93489.0,170.0,123.0,224.0,1350.0,460.0,49701.0,5436.0,2866.0,2698.0,144994.0,60464.0,1463.0,4.0,4.0,4.0,0.0,0.0,231.0,243.0,50.0,6.0,117.0,0.0,6.0,0.0,618.0,5630.0,1185.0,85880429.0
알테쟈,3,True,2017-06-05T00:00+09:00,289,엘리시움,9203.0,aab494c59dba934cb1942e4165056b02efe8d04e6d233bd35cf2fabdeb93fb0d,은월,엘리시움,90433703.0,101.0,498.0,102.41,96.88,90.0,109.4,70.0,100.0,99999.0,160.0,123.0,320.0,1365.0,610.0,56785.0,6637.0,3475.0,4680.0,73853.0,37965.0,1463.0,4.0,4.0,4.0,-252.0,-232.0,232.0,131.0,56.0,5.0,19.0,2.0,6.0,7.0,139.0,5593.0,1430.0,164289692.0
사슴졍,3,True,2025-12-18T00:00+09:00,286,챌린저스4,,cae5402310080c1d7d98255a6a362f5b,메르세데스,챌린저스,69754584.0,132.0,382.0,65.07,94.66,115.0,116.0,35.0,100.0,41059.0,165.0,123.0,282.0,1450.0,450.0,5663.0,52606.0,2527.0,3032.0,64057.0,55492.0,4.0,1453.0,4.0,4.0,0.0,0.0,144.0,30.0,60.0,4.0,435.0,2.0,5.0,0.0,192.0,6484.0,1380.0,108293548.0
델나,3,False,2025-06-19T00:00+09:00,286,크로아,6023.0,3d41ff01197b6cbd1550aeb0375726a6,렌,크로아,35502537.0,76.0,370.0,82.8,89.68,72.0,61.7,57.0,100.0,75176.0,170.0,123.0,187.0,1380.0,480.0,44021.0,3756.0,2312.0,2810.0,60258.0,23356.0,1448.0,4.0,4.0,4.0,0.0,0.0,140.0,4.0,10.0,6.0,20.0,0.0,6.0,0.0,65.0,4720.0,827.0,73715727.0
암호메접,3,False,2024-12-19T00:00+09:00,285,베라,8355.0,2782f9da45c200265ee6a69b79239caf,은월,기타,22913822.0,93.0,140.0,97.09,83.72,70.0,80.75,70.0,100.0,51095.0,142.0,116.0,42.0,1320.0,510.0,31815.0,1408.0,589.0,711.0,48560.0,31949.0,1443.0,4.0,4.0,4.0,-100.0,-100.0,53.0,44.0,30.0,5.0,90.0,0.0,6.0,0.0,98.0,2754.0,458.0,15719712.0
AdeleTeaM,2,True,2023-06-19T00:00+09:00,292,루나,9667.0,9f713cff94b1ef1476c43db26f52d9b8efe8d04e6d233bd35cf2fabdeb93fb0d,아델,루나,93506319.0,112.0,315.0,84.04,93.1,104.0,84.7,71.0,100.0,99999.0,170.0,123.0,318.0,1350.0,750.0,64022.0,8557.0,5806.0,6483.0,90370.0,37759.0,1478.0,4.0,4.0,4.0,0.0,0.0,145.0,83.0,50.0,6.0,83.0,2.0,6.0,7.0,228.0,6966.0,1276.0,149908837.0
문슬,1,True,2020-05-28T00:00+09:00,295,엘리시움,10649.0,ab4d410686f7f9fca34201f41b45877aefe8d04e6d233bd35cf2fabdeb93fb0d,데몬어벤져,엘리시움,57151780.0,127.0,257.0,43.99,88.64,100.0,88.45,91.0,100.0,33269.0,170.0,123.0,269.0,1350.0,820.0,4297.0,2813.0,2183.0,1985.0,500000.0,,4.0,4.0,4.0,4.0,22335.0,0.0,235.0,160.0,31.0,4.0,125.0,0.0,6.0,7.0,445.0,5046.0,1109.0,88500771.0
Bacteria,2,True,2023-01-10T00:00+09:00,294,엘리시움,9021.0,7c11a1f587f6123282d12b3a91636f8fefe8d04e6d233bd35cf2fabdeb93fb0d,캐논마스터,엘리시움,105118259.0,146.0,356.0,76.09,95.23,90.0,95.2,77.0,100.0,99999.0,160.0,123.0,266.0,1350.0,700.0,62070.0,6686.0,4318.0,4272.0,79403.0,48845.0,1488.0,4.0,4.0,4.0,0.0,0.0,220.0,79.0,64.0,2.0,110.0,0.0,6.0,0.0,196.0,6345.0,1376.0,152409199.0
일집일,3,True,2025-06-19T00:00+09:00,286,루나,8993.0,6e9cb983cfc274250ab2289dd77c6200efe8d04e6d233bd35cf2fabdeb93fb0d,렌,루나,54858151.0,72.0,282.0,86.15,85.15,94.0,73.0,56.0,100.0,99999.0,170.0,123.0,257.0,1350.0,470.0,50573.0,5586.0,2703.0,3081.0,114437.0,35288.0,1448.0,4.0,4.0,4.0,0.0,0.0,171.0,130.0,38.0,6.0,104.0,2.0,6.0,0.0,207.0,6340.0,1488.0,101177133.0
호좌,3,True,2020-07-19T00:00+09:00,287,엘리시움,9384.0,e69e694480bc6f8998c3fae6050b6d97efe8d04e6d233bd35cf2fabdeb93fb0d,호영,엘리시움,70567837.0,72.0,479.0,104.44,96.08,99.0,101.8,72.0,100.0,56193.0,170.0,123.0,295.0,1350.0,460.0,4557.0,7070.0,4464.0,60218.0,68479.0,41692.0,4.0,4.0,4.0,1453.0,0.0,0.0,12.0,16.0,70.0,6.0,12.0,1.0,6.0,0.0,48.0,6226.0,1281.0,158903304.0
방욱열,3,True,2025-12-18T00:00+09:00,285,챌린저스,,6d46bae552800c253d1a1809c6b36197,팬텀,챌린저스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
존끄슨,3,True,2016-10-25T00:00+09:00,285,엘리시움,9163.0,3626ff399c9d39d855e374ada7c2aeeaefe8d04e6d233bd35cf2fabdeb93fb0d,비숍,엘리시움,77504011.0,61.0,331.0,233.49,95.79,94.0,74.15,81.0,100.0,21172.0,170.0,123.0,291.0,1350.0,400.0,4924.0,4564.0,52323.0,6360.0,53565.0,83264.0,4.0,4.0,1443.0,4.0,-393.0,-199.0,40.0,14.0,184.0,4.0,12.0,0.0,6.0,7.0,400.0,1687.0,5578.0,88410668.0
비빙꽁,2,True,2024-07-03T00:00+09:00,292,루나,9391.0,5eaa4b0a01e39383a7c8b41e36d39dd8efe8d04e6d233bd35cf2fabdeb93fb0d,캐논마스터,루나,106332402.0,129.0,271.0,76.09,88.91,113.0,87.1,65.0,100.0,99999.0,170.0,123.0,314.0,1350.0,750.0,56560.0,6444.0,2748.0,3104.0,64549.0,28204.0,1483.0,4.0,4.0,4.0,0.0,0.0,243.0,142.0,55.0,2.0,111.0,2.0,6.0,7.0,220.0,7555.0,1317.0,129231731.0
런킹,3,True,2018-07-05T00:00+09:00,289,스카니아,9331.0,4f9242756a74f09a9a04c2c1cda4b26d,메르세데스,스카니아,88463901.0,106.0,480.0,63.71,95.21,175.0,101.0,52.0,100.0,59168.0,171.0,123.0,353.0,1350.0,700.0,8294.0,68808.0,4876.0,5824.0,48022.0,38128.0,4.0,1468.0,4.0,4.0,0.0,0.0,21.0,24.0,43.0,4.0,22.0,1.0,6.0,3.0,150.0,7117.0,1545.0,249592223.0
체인랩,3,False,2018-12-11T00:00+09:00,285,루나,9233.0,f9503e317a204e3cdc6037ec6cf07be1,카데나,루나,8959114.0,92.0,287.0,10.0,90.11,84.0,76.0,66.0,100.0,16635.0,170.0,123.0,67.0,1350.0,430.0,1443.0,1770.0,1211.0,31238.0,39778.0,32094.0,4.0,4.0,4.0,1443.0,0.0,0.0,62.0,76.0,106.0,6.0,42.0,0.0,6.0,27.0,146.0,2546.0,450.0,21919075.0
봉구렝,3,True,2025-06-19T00:00+09:00,288,챌린저스2,9443.0,dd558c5a2dc579a19533c2709acb7b798295750b1f4857867454debc45ec9c8a,렌,챌린저스,70760947.0,89.0,289.0,98.97,95.82,116.0,93.6,60.0,100.0,93597.0,170.0,123.0,296.0,1350.0,500.0,52045.0,7216.0,3853.0,4324.0,152854.0,63312.0,1473.0,4.0,4.0,4.0,0.0,0.0,178.0,141.0,55.0,6.0,107.0,2.0,6.0,7.0,274.0,6720.0,1273.0,122156974.0
떠유,3,False,2022-10-22T00:00+09:00,285,엘리시움,9823.0,8028e41c602cf53a5386d48212324951efe8d04e6d233bd35cf2fabdeb93fb0d,히어로,엘리시움,11588808.0,47.0,203.0,51.25,91.74,77.0,66.8,73.0,100.0,48586.0,147.0,120.0,88.0,1450.0,400.0,30616.0,1751.0,970.0,1282.0,66209.0,17931.0,1443.0,4.0,4.0,4.0,0.0,150.0,20.0,4.0,50.0,4.0,12.0,0.0,6.0,0.0,47.0,2914.0,420.0,19246082.0
쑥쑥,2,True,2017-07-17T00:00+09:00,291,엘리시움,9398.0,6d60101e4b35607657d9619fce82a3fbefe8d04e6d233bd35cf2fabdeb93fb0d,팬텀,엘리시움,69422135.0,121.0,269.0,87.33,85.79,90.0,93.6,90.0,100.0,40947.0,160.0,123.0,275.0,1350.0,700.0,3832.0,6835.0,4137.0,54325.0,62171.0,49479.0,4.0,4.0,4.0,1478.0,-36.0,-24.0,141.0,140.0,55.0,5.0,100.0,3.0,6.0,7.0,235.0,5755.0,1245.0,106708977.0
까인기,2,True,2022-01-17T00:00+09:00,290,크로아,9585.0,34d7ac1c000bdb9ce6d514d6963ba04d,카인,크로아,158285456.0,87.0,487.0,146.77,97.23,178.0,119.0,60.0,100.0,79586.0,170.0,123.0,379.0,1350.0,580.0,12927.0,78761.0,7697.0,8364.0,71388.0,36254.0,4.0,1468.0,4.0,4.0,0.0,0.0,19.0,23.0,50.0,6.0,12.0,2.0,6.0,7.0,197.0,8045.0,2195.0,308869418.0
애보,3,True,2020-05-13T00:00+09:00,287,엘리시움,9658.0,00de71ae9a5a75e4c8283e66af276fcaefe8d04e6d233bd35cf2fabdeb93fb0d,"아크메이지(불,독)",엘리시움,99130284.0,121.0,311.0,194.14,89.71,89.0,89.65,46.0,100.0,19231.0,160.0,123.0,238.0,1350.0,500.0,3837.0,4147.0,50776.0,8274.0,47399.0,97582.0,4.0,4.0,1463.0,4.0,0.0,0.0,232.0,131.0,130.0,4.0,102.0,5.0,6.0,7.0,234.0,1754.0,6012.0,114419565.0
붉은썬콜개미,3,True,2022-04-10T00:00+09:00,285,스카니아,9444.0,343928d7db2354ffec3c8986072f5024,"아크메이지(썬,콜)",스카니아,88303494.0,118.0,382.0,194.14,97.32,93.0,78.7,75.0,100.0,13106.0,170.0,123.0,281.0,1350.0,620.0,2553.0,3014.0,51664.0,4842.0,45057.0,99066.0,4.0,4.0,1443.0,4.0,0.0,0.0,52.0,14.0,80.0,4.0,13.0,0.0,6.0,6.0,70.0,1428.0,5426.0,105011859.0
홍청토끼,3,True,2025-06-19T00:00+09:00,285,챌린저스2,10237.0,f3f404d53c54a28dffbf04617fa85c7d,렌,챌린저스,46311621.0,94.0,404.0,98.97,96.22,100.0,85.0,58.0,100.0,87166.0,170.0,123.0,209.0,1380.0,350.0,48520.0,5859.0,3665.0,4159.0,99622.0,44428.0,1443.0,4.0,4.0,4.0,0.0,0.0,156.0,30.0,85.0,6.0,19.0,0.0,6.0,7.0,69.0,4616.0,980.0,92461832.0
우적렌,3,True,2025-06-19T00:00+09:00,285,크로아,8998.0,cef727b7986f4f6fb3ed974293042c99,렌,크로아,39816426.0,95.0,267.0,87.7,85.58,122.0,74.85,72.0,100.0,83054.0,170.0,123.0,233.0,1350.0,410.0,47619.0,4304.0,2763.0,2868.0,133851.0,51229.0,1448.0,4.0,4.0,4.0,0.0,0.0,173.0,67.0,50.0,6.0,87.0,2.0,6.0,7.0,499.0,4296.0,862.0,60781358.0
춤낳,2,True,2025-06-19T00:00+09:00,290,베라,9195.0,efd6cf0d7930b0e9f05e35c04b766768,렌,기타,35808398.0,138.0,334.0,86.15,92.57,103.0,86.0,75.0,100.0,67804.0,170.0,123.0,171.0,1350.0,420.0,39886.0,4152.0,2124.0,2250.0,76106.0,28551.0,1468.0,4.0,4.0,4.0,0.0,0.0,192.0,102.0,30.0,6.0,114.0,0.0,6.0,0.0,84.0,3798.0,684.0,45007799.0
